mjd,mag,magerr,expid,ra,dec,programid,catflags
58262.20291,18.50669,0.04078,50820177,181.43620,34.38133,2,32768
58262.25321,18.58624,0.04316,50825207,181.43621,34.38134,2,32768
58263.23510,18.46304,0.03953,50923403,181.43618,34.38128,2,32768
58266.25192,18.53340,0.04156,51225111,181.43616,34.38123,1,0
58266.25284,18.51614,0.04105,51225202,181.43618,34.38124,3,0
58267.28997,18.59026,0.04329,51328924,181.43617,34.38123,3,0
58269.18278,18.49312,0.04038,51518221,181.43617,34.38129,3,0
58269.18372,18.45338,0.03926,51518314,181.43618,34.38129,1,0
58272.18238,18.50942,0.04085,51818206,181.43618,34.38124,1,0
58272.18332,18.53103,0.04149,51818299,181.43617,34.38123,3,0
58274.19999,18.50779,0.04081,52019983,181.43618,34.38125,3,0
58276.19995,18.55729,0.04227,52219996,181.43617,34.38123,3,0
58276.20088,18.50937,0.04085,52220089,181.43617,34.38123,1,0
58277.23551,18.48882,0.04026,52323561,181.43616,34.38124,3,0
58278.23794,18.47483,0.03986,52423812,181.43616,34.38124,3,0
58279.17220,18.53455,0.04159,52517246,181.43620,34.38124,3,0
58279.18631,18.48935,0.04028,52518657,181.43620,34.38124,1,0
58280.17511,18.58549,0.04314,52617545,181.43621,34.38124,3,0
58281.19496,18.49783,0.04052,52719539,181.43618,34.38123,3,0
58282.19465,18.54637,0.04195,52819516,181.43618,34.38123,3,0
58282.19558,18.52868,0.04142,52819608,181.43618,34.38124,1,0
58283.21541,18.60893,0.04387,52921600,181.43616,34.38124,3,0
58284.20238,18.54145,0.04180,53020305,181.43619,34.38123,3,0
58288.24842,18.47388,0.03984,53424943,181.43618,34.38124,1,0
58292.23531,18.46664,0.03963,53823664,181.43619,34.38125,1,0
58295.23886,18.52846,0.04141,54124042,181.43619,34.38123,1,0
58298.25624,18.54093,0.04178,54425804,181.43618,34.38125,1,0
58303.17827,19.16198,0.06595,54918045,181.43606,34.38152,1,32768
58306.17190,18.56344,0.04246,55217430,181.43619,34.38125,1,0
58324.16196,18.40555,0.03797,57016554,181.43618,34.38129,1,0
58423.54284,18.38890,0.03753,66954578,181.43618,34.38123,1,0
58427.48938,18.57379,0.04278,67349204,181.43614,34.38127,1,0
58430.47522,18.47028,0.03974,67647767,181.43618,34.38122,1,0
58434.46855,18.63708,0.04477,68047069,181.43594,34.38110,1,32768
58440.55259,18.45723,0.03937,68655425,181.43617,34.38123,3,0
58440.55649,18.46657,0.03963,68655815,181.43617,34.38121,1,0
58443.47202,18.45465,0.03930,68947344,181.43618,34.38124,1,0
58443.47293,18.45808,0.03939,68947436,181.43615,34.38122,3,0
58447.47310,18.45865,0.03941,69347420,181.43619,34.38121,1,0
58447.47401,18.43271,0.03870,69347511,181.43611,34.38125,3,0
58447.52462,18.48693,0.04021,69352571,181.43620,34.38123,3,0
58447.53601,18.44188,0.03895,69353710,181.43625,34.38125,1,0
58448.50249,18.52501,0.04131,69450350,181.43616,34.38125,3,0
58448.54623,18.43999,0.03890,69454724,181.43618,34.38123,3,0
