|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 249.7207668 28.4519168 62778a225-003868 16.096     0.231    4.7 15.322      null    0.5 0000     BU              10 57250.13340456         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.360352 126.204566 
 249.7199887 28.4521331 62789a201-003396 16.530      null    1.6 14.400     0.388    2.8 0000     UC              10 57250.46142699         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.365367 268.957668 
 249.7203544 28.4517602 62766a225-003667 16.333     0.344    3.2 15.254     0.409    2.7 0000     BC              10 57249.73980302         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.382956 188.635008 
 249.7206452 28.4524702 62785a201-004955 16.214     0.237    4.6 14.736      null    1.9 0000     BU               5 57250.33026891         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.386051  30.948262 
 249.7205198 28.4525151 84826a221-003605 16.021     0.201    5.4 14.839      null    0.5 0000     BU               0 57972.43826155         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.386814  13.166183 
 249.7207414 28.4518758 84841a197-004455 16.162     0.235    4.6 14.736      null    1.3 0000     BU               5 57972.89655017         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.392660 133.074634 
 249.7207820 28.4523625 95835a218-002819 16.015     0.247    4.4 14.814      null    1.2 0000     BU              10 58332.68814232         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.398012  55.043302 
 249.7208266 28.4519375 62773a201-004783 15.853     0.224    4.8 15.451       0.5    2.2 0000     BC              10 57249.93666743         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.479091 119.529309 
 249.7207173 28.4524580 51834a228-002204 16.197     0.298    3.6 14.274     0.408    2.7 0000     BC              10 56890.71167440         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.481911  39.419525 
 249.7203890 28.4525603 90850a059-002412 16.282     0.273    4.0 14.673      0.42    2.6 0000     BC               0 58169.55930012         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.516259 356.289685 
 249.7208945 28.4522262 84817a137-005625 16.717     0.444    2.4 15.356     0.447    2.4 0000     CC              10 57972.11087615         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.533599  78.325620 
 249.7207504 28.4524519 46340a050-003980 16.455     0.280    3.9 14.990     0.507    2.1 0000     BC               5 56709.88050699         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.534409  42.964615 
 249.7205090 28.4517184 84821a197-004965 15.996      null    1.1 14.613      null    2.0 0000     UU               5 57972.24190666         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.543680 169.485345 
 249.7208433 28.4519183 84845a196-003382 15.977     0.233    4.7 15.564     0.531    2.0 0000     BC               5 57973.02745343         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.559523 120.781813 
 249.7200455 28.4518500 46414a071-003622 16.052     0.217    5.0 14.753      null    1.8 0000     BU              10 56712.31749913         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.579563 228.628257 
 249.7200852 28.4524792 95831a137-002458 15.992     0.222    4.9 14.338      null    1.1 0000     BU              10 58332.55723914         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.616817 319.048338 
 249.7203085 28.4525924 46412a046-005918 16.162     0.216    5.0 14.727      null    1.8 0000     BU              10 56712.25166545         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.666439 347.773415 
 249.7208182 28.4518216 84822a221-005592 16.210     0.237    4.6 14.812      null    1.7 0000     BU              10 57972.30735831         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.703645 132.284663 
 249.7208752 28.4518849 84806a221-003593 16.215     0.237    4.6 14.623      null    1.7 0000     BU              10 57971.78361796         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.708584 122.513349 
 249.7199993 28.4524429 73745a198-006078 16.489     0.432    2.5 15.298     0.444    2.4 0000     CC              10 57609.55813266         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.721101 309.314227 
 249.7209840 28.4521296 79732a040-005455 16.621     0.356    3.1 15.110     0.334    3.2 0000     BB              10 57805.62159413         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.785552  91.201349 
 249.7200276 28.4517660 73833a200-004064 16.661     0.519    2.1 15.077     0.432    2.5 0000     CC              10 57612.44068046         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.831774 222.690780 
 249.7207943 28.4517516 51845a204-005327 16.665     0.381    2.8 14.954      0.41    2.6 0000     CC              10 56891.04058863         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.832664 139.725339 
 249.7206438 28.4516668 51827a135-004834 16.286     0.270    4.0 14.845     0.328    3.3 0000     BB              10 56890.44846663         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.844930 157.421137 
