mjd,mag,magerr,expid,ra,dec,programid,catflags
58262.22047,18.72874,0.04601,50821932,181.43616,34.38125,2,32768
58263.25915,18.64010,0.04335,50925809,181.43619,34.38128,2,32768
58267.18497,18.56082,0.04112,51318423,181.43619,34.38139,3,0
58268.17000,18.65936,0.04391,51416935,181.43619,34.38135,3,0
58272.20803,18.68702,0.04473,51820770,181.43619,34.38125,3,0
58272.20896,18.73807,0.04631,51820864,181.43620,34.38125,1,0
58274.23524,18.70318,0.04522,52023509,181.43620,34.38124,3,0
58276.21582,18.68161,0.04457,52221583,181.43619,34.38123,3,0
58276.21676,18.74038,0.04638,52221677,181.43619,34.38123,1,0
58277.19433,18.76786,0.04726,52319442,181.43619,34.38124,3,0
58278.19477,18.73779,0.04630,52419495,181.43621,34.38129,3,0
58279.20496,18.79414,0.04811,52520521,181.43617,34.38124,1,0
58279.20589,18.75018,0.04669,52520615,181.43619,34.38125,3,0
58280.22648,18.70953,0.04542,52622682,181.43617,34.38124,3,0
58281.23716,18.73335,0.04616,52723759,181.43620,34.38123,3,0
58282.24446,18.68992,0.04482,52824497,181.43620,34.38124,1,0
58282.24538,18.74747,0.04660,52824589,181.43619,34.38123,3,0
58283.23818,18.66612,0.04411,52923877,181.43619,34.38124,3,0
58284.21402,18.73884,0.04633,53021469,181.43619,34.38124,3,0
58288.19550,18.72162,0.04579,53419650,181.43617,34.38126,1,0
58292.19402,18.78790,0.04791,53819534,181.43618,34.38126,1,0
58295.17563,18.71502,0.04559,54117719,181.43617,34.38122,1,0
58298.17741,18.75682,0.04690,54417921,181.43617,34.38117,1,0
58303.19800,18.71486,0.04558,54920018,181.43620,34.38122,1,0
58315.16871,18.77613,0.04752,56117173,181.43613,34.38125,1,0
58423.49087,18.59684,0.04212,66949381,181.43632,34.38111,1,0
58427.52685,18.74918,0.04666,67352951,181.43625,34.38123,1,0
58430.52508,18.68802,0.04476,67652752,181.43619,34.38124,1,0
58434.52385,18.77591,0.04752,68052599,181.43637,34.38118,1,0
58437.50905,18.70215,0.04519,68351096,181.43618,34.38128,3,0
58437.50996,18.70470,0.04527,68351187,181.43618,34.38124,1,0
58438.49211,18.68184,0.04458,68449394,181.43618,34.38124,3,0
58440.48529,18.67915,0.04450,68648696,181.43617,34.38123,3,0
58440.48621,18.64878,0.04360,68648788,181.43616,34.38124,1,0
58441.48558,18.69181,0.04488,68748717,181.43619,34.38122,3,0
58442.51623,18.78554,0.04783,68851774,181.43617,34.38124,3,32768
58443.53438,18.69780,0.04506,68953581,181.43615,34.38124,1,0
58443.53537,18.67267,0.04430,68953679,181.43616,34.38123,3,0
58450.48574,18.61549,0.04264,69648658,181.43621,34.38123,1,0
58450.48671,18.59817,0.04215,69648755,181.43619,34.38126,3,0
58461.48665,18.66091,0.04395,70748656,181.43618,34.38124,3,0
58461.48758,18.71859,0.04570,70748748,181.43618,34.38123,1,0
58464.50551,18.63133,0.04309,71050516,181.43616,34.38123,3,0
58464.50644,18.60047,0.04222,71050608,181.43615,34.38125,1,0
58467.46487,18.70084,0.04515,71346427,181.43613,34.38129,1,32768
58467.47433,18.76859,0.04728,71347372,181.43614,34.38122,3,32768
58468.55325,18.66772,0.04416,71455255,181.43617,34.38125,3,0
58469.51633,18.63809,0.04329,71551555,181.43620,34.38123,3,0
58471.50825,18.68734,0.04474,71750730,181.43618,34.38127,3,0
58471.50917,18.68526,0.04468,71750822,181.43623,34.38124,1,0
58472.52821,18.70739,0.04535,71852717,181.43614,34.38124,3,0
58480.51925,18.66683,0.04413,72651755,181.43613,34.38128,1,0
58486.54540,18.60589,0.04237,73254324,181.43620,34.38127,3,0
58486.54640,18.69858,0.04508,73254423,181.43616,34.38126,1,0
58487.48870,18.61848,0.04273,73348646,181.43619,34.38124,3,0
58491.47488,18.65001,0.04363,73747234,181.43624,34.38125,3,0
58491.47581,18.60268,0.04228,73747327,181.43623,34.38121,1,0
58492.53130,18.68932,0.04480,73852869,181.43617,34.38125,3,0
58493.54038,18.64893,0.04360,73953769,181.43615,34.38123,3,0
58494.49628,18.66659,0.04412,74049353,181.43618,34.38123,1,0
58494.49769,18.67583,0.04440,74049494,181.43618,34.38122,3,0
58502.47149,18.72785,0.04599,74846820,181.43619,34.38117,3,0
58502.47250,18.61163,0.04253,74846921,181.43612,34.38125,1,0
58505.45338,18.83954,0.04964,75144990,181.43617,34.38142,3,0
58505.45485,18.77847,0.04760,75145137,181.43617,34.38117,1,0
58506.48756,18.69691,0.04503,75248402,181.43623,34.38132,3,0
58507.48551,18.78188,0.04771,75348192,181.43600,34.38114,3,0
58508.54199,18.62647,0.04295,75453834,181.43608,34.38123,1,0
58508.54292,18.57236,0.04144,75453927,181.43619,34.38126,3,0
58509.53426,18.59485,0.04206,75553055,181.43616,34.38126,3,0
58511.45094,18.62047,0.04278,75744712,181.43618,34.38124,3,0
58511.45186,18.69383,0.04494,75744805,181.43617,34.38124,1,0
58522.44356,18.60635,0.04238,76843923,181.43605,34.38135,1,0
58522.44503,18.66056,0.04394,76844070,181.43617,34.38135,3,0
58524.42952,18.67388,0.04434,77042512,181.43624,34.38137,3,0
58526.44475,18.65503,0.04378,77244027,181.43621,34.38117,3,0
58526.44569,18.59465,0.04205,77244122,181.43620,34.38123,1,0
58538.32385,18.62342,0.04287,78431907,181.43613,34.38131,3,32768
58538.32485,18.68388,0.04464,78432008,181.43615,34.38132,1,32768
58540.36335,18.61426,0.04261,78635854,181.43618,34.38123,3,0
58543.30277,18.59340,0.04202,78929792,181.43628,34.38129,1,0
58543.31585,18.59231,0.04199,78931100,181.43619,34.38129,3,32768
58546.27358,18.59134,0.04196,79226871,181.43626,34.38124,3,0
58556.37373,18.52559,0.04018,80236888,181.43631,34.38119,3,0
58556.37466,18.67445,0.04436,80236981,181.43635,34.38124,1,0
