|NAME|FWHM_BROAD_HA|FWHM_BROAD_HA_ERR|SIGMA_BROAD_HA|SIGMA_BROAD_HA_ERR|Z_BROAD_HA|FWHM_BROAD_HB|FWHM_BROAD_HB_ERR|SIGMA_BROAD_HB|SIGMA_BROAD_HB_ERR|Z_BROAD_HB|FWHM_CIV|FWHM_CIV_ERR|SIGMA_CIV|SIGMA_CIV_ERR|BLUESHIFT_CIV_HA|BLUESHIFT_CIV_HA_ERR|BLUESHIFT_CIV_HB|BLUESHIFT_CIV_HB_ERR|LOGL5100|LOGL1350|
|J120147.91+120630.3||||||4746.0|464.0|3216.0|394.0|3.5391|4987.0|116.0|3327.0|49.0|||1524.0|164.0|46.937|47.332|
|J120818.84-045905.7||||||3216.0|111.0|4237.0|334.0|2.3284|6772.0|724.0|3675.0|198.0|||2512.0|160.0|46.434|46.836|
|J121117.59+042222.3|3482.0|98.0|2359.0|148.0|2.5456|5183.0|284.0|3424.0|174.0|2.5475|4990.0|115.0|3434.0|77.0|1002.0|48.0|1162.0|158.0|46.502|46.777|
|J121140.59+103002.0|3004.0|68.0|2179.0|73.0|2.1938|3469.0|339.0|2315.0|535.0|2.1931|2974.0|58.0|3295.0|44.0|402.0|21.0|337.0|110.0|46.439|46.58|
|J121303.02+171423.3|3105.0|93.0|2717.0|123.0|2.5766||||||7458.0|169.0|3869.0|106.0|2993.0|67.0|||46.56|46.895|
|J121427.78-030721.1|2991.0|24.0|2364.0|21.0|2.1256|3083.0|89.0|2144.0|47.0|2.1249|2285.0|59.0|3041.0|138.0|326.0|24.0|255.0|29.0|46.048|46.273|
|J121558.82+571555.5||||||2647.0|212.0|1969.0|268.0|1.963|3166.0|101.0|3345.0|86.0|||243.0|68.0|46.047|46.258|
|J121911.34-004348.7||||||4399.0|205.0|4430.0|53.0|2.3031|4083.0|658.0|3187.0|176.0|||2003.0|214.0|46.269|46.83|
|J122039.45+000427.6|3578.0|8.0|2866.0|6.0|2.0437|4595.0|67.0|4020.0|33.0|2.0499|5707.0|116.0|4037.0|45.0|656.0|29.0|1264.0|92.0|46.493|46.813|
|J122516.79+042537.8||||||2958.0|55.0|1256.0|23.0|2.4|4091.0|164.0|3365.0|79.0|||1273.0|34.0|46.255|46.244|
|J123143.09+002846.2||||||5099.0|230.0|2166.0|98.0|3.2097|5812.0|295.0|4230.0|47.0|||350.0|63.0|46.154|46.428|
|J123355.21+031327.6|8036.0|62.0|4285.0|7.0|1.5264|7342.0|176.0|3219.0|38.0|1.5291|6926.0|346.0|4019.0|86.0|686.0|52.0|1003.0|85.0|45.979|46.27|
|J123442.16+052126.7|5758.0|254.0|3045.0|54.0|1.5503|8246.0|766.0|3975.0|238.0|1.5508|5109.0|137.0|3756.0|72.0|1258.0|57.0|1318.0|276.0|46.291|46.538|
|J123511.10-010829.5||||||2558.0|376.0|1087.0|155.0|2.2475|4785.0|256.0|3317.0|301.0|||1389.0|114.0|45.379|46.05|
|J123514.36+030416.7|3069.0|6.0|1951.0|15.0|2.2007|4101.0|60.0|1742.0|49.0|2.2034|2791.0|55.0|2770.0|143.0|595.0|23.0|841.0|27.0|46.185|46.391|
|J123611.21+112921.6|2972.0|128.0|2844.0|177.0|2.1573||||||7568.0|234.0|4113.0|67.0|2984.0|79.0|||46.051|46.428|
|J124006.70+474003.3|2529.0|169.0|2166.0|25.0|1.5614|3111.0|208.0|3469.0|344.0|1.562|5104.0|134.0|3244.0|119.0|958.0|38.0|1019.0|106.0|46.13|46.245|
|J124524.60-000938.0|3041.0|108.0|2443.0|184.0|2.0943||||||7155.0|267.0|3901.0|226.0|2442.0|94.0|||46.32|46.667|
|J124602.05+042658.4|4357.0|394.0|2624.0|264.0|2.4396||||||4185.0|94.0|3900.0|39.0|358.0|104.0|||46.147|46.42|
|J124924.87-023339.8|3634.0|125.0|2615.0|159.0|2.1259||||||6748.0|156.0|4019.0|64.0|2250.0|54.0|||46.362|46.647|
|J125140.82+080718.4|3101.0|9.0|2498.0|6.0|1.6075|3547.0|87.0|2392.0|158.0|1.6084|5893.0|897.0|3831.0|99.0|2389.0|84.0|2487.0|93.0|46.277|46.686|
|J125353.71+681714.3||||||4055.0|930.0|2873.0|523.0|3.4829|4654.0|115.0|3681.0|87.0|||1210.0|330.0|46.371|46.835|
|J130124.73+475909.6|2769.0|78.0|2281.0|98.0|2.1922||||||6638.0|185.0|3685.0|101.0|2876.0|53.0|||46.13|46.54|
|J130331.28+162146.6|3883.0|151.0|3202.0|45.0|2.3012||||||8633.0|325.0|4099.0|98.0|4141.0|67.0|||46.35|46.843|
|J130343.47+103113.3|4572.0|106.0|2955.0|59.0|2.1878||||||7627.0|200.0|4437.0|58.0|1439.0|56.0|||46.579|46.915|
|J130710.25+123021.7||||||4015.0|112.0|3036.0|164.0|3.2436|8999.0|269.0|4119.0|64.0|||3565.0|72.0|46.715|47.13|
|J131011.61+460124.5|3083.0|43.0|2507.0|36.0|2.1419|3511.0|124.0|3717.0|148.0|2.1459|6899.0|127.0|3517.0|84.0|2485.0|39.0|2867.0|57.0|46.746|47.271|
|J133335.78+164903.9|4959.0|88.0|2807.0|94.0|2.1008||||||5327.0|90.0|3832.0|37.0|2115.0|48.0|||47.067|47.184|
|J133646.87+144334.2|2696.0|65.0|3154.0|77.0|2.1466||||||7820.0|962.0|3904.0|170.0|3487.0|253.0|||46.043|45.867|
|J133916.88+151507.6|8841.0|1007.0|3635.0|311.0|2.3208||||||4575.0|748.0|4560.0|86.0|94.0|350.0|||46.126|46.421|
|J134103.60-073947.3||||||3379.0|114.0|3310.0|150.0|2.3887|7603.0|708.0|3237.0|353.0|||3866.0|224.0|46.712|47.115|
|J134115.56+010812.7|6299.0|138.0|3563.0|80.0|2.2039||||||3004.0|211.0|3405.0|121.0|70.0|48.0|||45.718|46.148|
|J134427.07-103541.9|6132.0|145.0|3340.0|43.0|2.1407|7248.0|522.0|3999.0|375.0|2.1408|4427.0|77.0|3611.0|6.0|262.0|55.0|278.0|213.0|46.76|47.163|
|J135023.68+265243.1|3657.0|69.0|2441.0|49.0|1.6231|4041.0|512.0|3174.0|437.0|1.6216|5284.0|92.0|3466.0|52.0|1143.0|25.0|970.0|163.0|46.308|46.662|
|J135038.88-251216.8|4310.0|355.0|2668.0|184.0|2.5924||||||9751.0|96.0|3920.0|9.0|5138.0|94.0|||46.973|47.376|
|J135439.70+301649.2|3782.0|84.0|2501.0|112.0|1.5525||||||5143.0|153.0|3325.0|105.0|981.0|56.0|||46.047|46.319|
|J140039.00+112022.9|3866.0|330.0|2770.0|213.0|2.5919|5986.0|370.0|3575.0|212.0|2.5977|6657.0|219.0|4232.0|69.0|2137.0|99.0|2624.0|126.0|46.776|47.175|
|J140047.45+120504.6|3219.0|413.0|3009.0|550.0|2.1681||||||7586.0|245.0|4346.0|108.0|2597.0|345.0|||46.182|46.467|
|J140445.89-013021.8|4085.0|345.0|2688.0|274.0|2.5171|4981.0|1314.0|3842.0|341.0|2.5151|2562.0|85.0|3439.0|80.0|252.0|109.0|80.0|261.0|46.443|46.812|
|J141949.39+060654.0|4004.0|23.0|2669.0|6.0|1.6483|5423.0|122.0|3293.0|68.0|1.651|6786.0|213.0|3434.0|156.0|2127.0|67.0|2434.0|92.0|46.08|46.612|
|J142108.71+224117.4|5515.0|111.0|3040.0|24.0|2.1891|6007.0|199.0|2908.0|235.0|2.1875|4291.0|55.0|3189.0|34.0|764.0|19.0|616.0|108.0|46.811|47.02|
|J142656.19+602550.9||||||8208.0|168.0|4033.0|66.0|3.2149|8113.0|103.0|4013.0|46.0|||3503.0|45.0|47.319|47.715|
|J142758.89-012130.4|4462.0|48.0|2285.0|51.0|2.2783||||||5557.0|427.0|3407.0|429.0|724.0|241.0|||45.706|46.056|
|J142841.97+592552.0|3891.0|74.0|2665.0|183.0|1.661|3899.0|1529.0|3961.0|579.0|1.6599|5099.0|288.0|3511.0|122.0|1389.0|53.0|1265.0|267.0|46.141|46.46|
|J143148.09+053558.0|7787.0|136.0|3644.0|22.0|2.1042||||||4720.0|97.0|3936.0|41.0|1255.0|35.0|||46.848|47.059|
|J143229.25-010616.0|2987.0|67.0|1889.0|243.0|2.0882||||||4211.0|89.0|3122.0|65.0|1056.0|53.0|||46.537|46.64|
