|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 181.4361452 34.3812774 93405b164-000557 15.244     0.113    9.6 14.030     0.160    6.8 0000     BB               5 58253.17979648         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.373703 303.570303 
 181.4361843 34.3813089 66289b096-000612 15.323     0.119    9.1 14.551     0.283    3.8 0000     BB              10 57365.25847108         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.374877 328.620073 
 181.4362118 34.3811197 77406a059-000587 15.396     0.124    8.7 13.925     0.135    8.0 0000     BB              10 57729.45399228         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.378500 197.449055 
 181.4361675 34.3813009 60422a198-000531 15.204     0.110    9.9 13.959     0.144    7.6 0000     BB              10 57172.84448859         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.380653 319.915368 
 181.4363267 34.3813051 88552a068-000516 15.207     0.122    8.9 14.036     0.180    6.0 0000     BB               5 58094.35339625         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.381818  36.643146 
 181.4361473 34.3811551 77409b092-000482 15.081     0.132    8.3 13.858     0.173    6.3 0000     BB              10 57729.58489591         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.384309 232.558474 
 181.4362556 34.3813276 88540a067-000470 15.142     0.121    9.0 14.103     0.155    7.0 0000     BB              10 58093.96055843         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.387723   2.459473 
 181.4363415 34.3811415 71365a171-000567 15.365     0.156    7.0 13.870     0.178    6.1 0000     BB              10 57531.59173640         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.392132 136.110351 
 181.4361215 34.3812449 49514a202-000529 15.174     0.123    8.8 14.016     0.195    5.6 0000     BB               0 56814.39475001         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.392168 283.213348 
 181.4362572 34.3811107 66308a072-000532 15.354     0.134    8.1 14.110     0.243    4.5 0000     BB              10 57365.84868450         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.394067 176.888145 
 181.4361275 34.3812630 60417a175-000470 15.142     0.112    9.7 13.721     0.116    9.3 0000     BB              10 57172.64775169         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.395514 293.041318 
 181.4362850 34.3811138 93397a164-000651 15.702     0.179    6.1 14.136     0.162    6.7 0000     BB               5 58252.91798541         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.396206 164.784130 
 181.4361316 34.3811688 71366a195-000534 15.061     0.101   10.7 13.833     0.128    8.5 0000     AB              10 57531.65718800         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.397135 242.346812 
 181.4361256 34.3812608 66301b096-000481 15.257     0.140    7.7 13.853     0.169    6.4 0000     BB              10 57365.65194667         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.397718 291.672949 
 181.4361603 34.3813077 77424a068-000492 15.135     0.116    9.3 13.850     0.175    6.2 0000     BB               5 57730.04344086         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.413166 319.831673 
 181.4361831 34.3811177 71381a116-000643 15.399     0.128    8.5 13.971     0.159    6.8 0000     BB               5 57532.11585921         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.418493 208.356277 
 181.4362666 34.3811025 49513a178-000527 15.040     0.116    9.4 14.304     0.230    4.7 0000     BB              10 56814.32891652         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.425866 173.349595 
 181.4361091 34.3812552 60433a106-000688 15.390     0.128    8.5 14.265     0.199    5.5 0000     BB              10 57173.17263819         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.437379 286.841404 
 181.4361007 34.3812324 82379a189-000596 15.359     0.125    8.7 13.971     0.155    7.0 0000     BB              10 57892.29986333         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.445818 275.746678 
 181.4363391 34.3811198 77432a075-000621 15.220     0.120    9.1 14.164     0.182    6.0 0000     BB              10 57730.30550280         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.447436 143.726006 
 181.4361734 34.3813272 77416a068-000568 15.446     0.188    5.8 13.600     0.153    7.1 0000     BB              10 57729.78137881         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.448027 329.471378 
 181.4361193 34.3812851 71370a195-000454 15.098     0.105   10.3 13.617     0.106   10.2 0000     AA              10 57531.78821872         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.453560 301.112020 
 181.4361637 34.3811141 49425a117-000468 15.142     0.102   10.7 13.853     0.118    9.2 0000     AB              10 56811.43389427         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.459447 213.922930 
 181.4361486 34.3813191 55326a014-000547 15.099     0.109   10.0 13.760     0.149    7.3 0000     AB              10 57005.47269609         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.466942 319.820529 
 181.4361782 34.3813358 77428a069-000473 15.088     0.134    8.1 14.085     0.163    6.7 0000     BB              10 57730.17447185         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.468286 332.900590 
 181.4363114 34.3810964 77421b093-000572 15.177     0.157    6.9 14.112     0.216    5.0 0000     BB              10 57729.97798900         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.480906 157.707396 
 181.4362209 34.3813516 49402a199-000392 15.025     0.098   11.1 13.926     0.142    7.7 0000     AB               5 56810.71010691         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.481583 349.657700 
 181.4361053 34.3811559 55200a077-000498 15.168     0.135    8.0 14.023     0.143    7.6 0000     BB              10 57001.33216363         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.487936 241.775023 
 181.4361206 34.3811353 55192a078-000530 15.381     0.138    7.9 13.821     0.145    7.5 0000     BB              10 57001.06933759         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.490697 231.581471 
 181.4362180 34.3810860 88548a068-000594 15.548     0.169    6.4 14.072     0.160    6.8 0000     BB              10 58094.22249273         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.491678 191.149336 
 181.4362760 34.3810847 71373a171-000511 15.060     0.100   10.8 14.018     0.171    6.4 0000     AB              10 57531.85379778         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.493164 170.988274 
 181.4361149 34.3812999 88537b092-000520 15.507     0.176    6.2 13.689     0.130    8.4 0000     BB              10 58093.89510664         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.493815 305.625653 
 181.4361988 34.3810893 49406a199-000576 15.249     0.110    9.9 13.959     0.148    7.3 0000     BB              10 56810.84164674         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.494503 197.916040 
 181.4364040 34.3812728 99746a088-000558 15.314     0.135    8.0 13.959     0.139    7.8 0000     BB              10 58460.63521436         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.495458  67.440289 
 181.4362508 34.3810808 82383a190-000485 15.183     0.114    9.5 13.789     0.112    9.7 0000     BB              10 57892.43076666         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.501126 179.728242 
 181.4360865 34.3811742 55177b103-000527 15.177     0.109    9.9 13.904     0.137    7.9 0000     BB              10 57000.60926459         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.512994 251.251845 
 181.4360826 34.3812555 82389a167-000532 15.160     0.115    9.4 13.679     0.118    9.2 0000     BB              10 57892.62724900         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.513519 284.410876 
 181.4360695 34.3812337 88544a068-000502 15.107     0.103   10.5 13.803     0.175    6.2 0000     AB              10 58094.09158921         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.538544 275.254594 
 181.4363601 34.3811008 66305b096-000485 15.191     0.104   10.4 13.830     0.117    9.3 0000     AB              10 57365.78310521         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.539578 142.681913 
 181.4364081 34.3812982 99750a089-000487 15.107     0.167    6.5 14.125     0.296    3.7 0000     BB              10 58460.76611784         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.547625  59.064553 
 181.4360778 34.3811560 93393a164-000651 15.636     0.165    6.6 13.894     0.149    7.3 0000     BB              10 58252.78708199         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.561104 245.756352 
 181.4361478 34.3813511 55184a077-000485 15.221     0.112    9.7 13.455     0.137    7.9 0000     BB              10 57000.80638420         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.561197 327.244124 
 181.4360888 34.3811383 99772a071-000591 15.361     0.122    8.9 13.823     0.144    7.6 0000     BB              10 58461.48545067         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.562038 238.445572 
 181.4360745 34.3812797 99758a088-000698 15.556     0.199    5.5 14.516     0.289    3.8 0000     BB              10 58461.02779803         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.563976 292.400495 
 181.4361419 34.3813489 55185b102-000428 15.102     0.101   10.8 13.859     0.127    8.5 0000     AB              10 57000.87209073         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.564344 325.312013 
 181.4361961 34.3810692 82381a166-000556 15.347     0.213    5.1 13.870     0.271    4.0 0000     BB              10 57892.36531499         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.566007 196.435248 
 181.4360790 34.3811482 60437a175-000579 15.370     0.133    8.1 13.928     0.130    8.3 0000     BB              10 57173.30392338         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.570024 243.034660 
