|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|tmass_key|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |int      |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |         |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null     |null    |null      |
 337.0785119 22.0177336 60676a078-003089 16.411     0.391    2.8 15.054     0.476    2.3 0000     CC               0 57181.13417198           null              null           null              null           null              null           null              null      null 1.409848  49.642081 
 337.0781651 22.0178714 88061a162-002495 16.275     0.267    4.1 14.865     0.294    3.7 0000     BB              10 58078.29377638         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.411489 356.624723 
 337.0778409 22.0177084 94212a067-002965 16.037     0.258    4.2 14.504     0.258    4.2 0000     BB              10 58279.57248819         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.426024 305.211566 
 337.0779240 22.0178032 60768a076-003040 15.639     0.185    5.9 14.479      null    1.2 0000     BU              10 57184.15258559         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.463524 322.656574 
 337.0778258 22.0177314 55146a198-002526 15.560     0.177    6.1 15.170     0.533    2.0 0000     BC              10 56999.60163715         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.515433 306.670830 
 337.0777374 22.0175603 94198a092-002578 15.854     0.231    4.7 14.391      null    1.9 0000     BU              10 58279.11445348         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.537942 280.834157 
 337.0777376 22.0175641 55138a198-002951 16.290     0.272    4.0 15.507     0.512    2.1 0000     BC              10 56999.33867935         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.539918 281.338752 
 337.0784871 22.0171476 55137a174-002265 15.699     0.160    6.8 15.169     0.380    2.9 0000     BC              10 56999.27297284           null              null           null              null           null              null           null              null      null 1.554070 140.354182 
 337.0777241 22.0175595 82992a072-002572 15.773     0.176    6.2 14.289     0.310    3.5 0000     BB              10 57912.35558769         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.581036 280.429287 
 337.0783347 22.0170553 60649b103-004454 16.519     0.337    3.2 15.143     0.439    2.5 0000     BC              10 57180.28113659           null              null           null              null           null              null           null              null      null 1.603378 162.470556 
 337.0776920 22.0176118 94208a068-002771 15.867     0.229    4.8 15.091     0.502    2.2 0000     BC              10 58279.44171225         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.728451 285.933018 
 337.0784901 22.0170636 71849b097-002709 15.774     0.177    6.1 14.426      null    1.6 0000     BU              10 57547.46872934           null              null           null              null           null              null           null              null      null 1.802848 146.251429 
 337.0778385 22.0178765 55149a174-002589 15.378     0.129    8.4 15.047     0.365    3.0 0000     BC              10 56999.66734363         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.847611 320.584908 
 337.0777221 22.0177582 66081a171-001982 15.548     0.148    7.3 14.587     0.255    4.3 0000     BB              10 57358.41721273         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.855158 302.673997 
 337.0787373 22.0173696 88077a162-003545 16.129     0.242    4.5 15.029      null    1.2 0000     BU              10 58078.81751829           null              null           null              null           null              null           null              null      null 1.869326 102.275328 
 337.0777219 22.0177800 82989b096-002611 15.907     0.212    5.1 15.001     0.429    2.5 0000     BC              10 57912.29013601         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.899224 304.656453 
 337.0776895 22.0177359 88069a162-003247 15.882     0.330    3.3 14.960     0.424    2.6 0000     BC              10 58078.55558398         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.907587 298.877319 
 337.0776553 22.0176697 94194a092-002668 16.037     0.267    4.1 14.676     0.442    2.5 0000     BC              10 58278.98355017         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.910744 290.941362 
 337.0777441 22.0178415 99173a162-002484 15.905     0.230    4.7 14.557     0.265    4.1 0000     BB              10 58441.89870292         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.976939 311.169731 
 337.0776224 22.0176482 66086a195-002512 15.957     0.198    5.5 14.621     0.256    4.2 0000     BB              10 57358.61395042         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 1.988759 287.726465 
 337.0777327 22.0178862 60745b101-001617 15.502     0.283    3.8 14.447     0.217    5.0 0000     BB              10 57183.43083544         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.113695 313.775308 
 337.0776878 22.0178561 66085a171-002175 15.673     0.190    5.7 14.932     0.436    2.5 0000     BC              10 57358.54837119         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.154623 308.932084 
 337.0776972 22.0178863 49676a082-002448 15.657     0.166    6.5 14.982     0.414    2.6 0000     BC              10 56819.68028208         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.201011 311.647845 
 337.0776434 22.0178508 60745b100-002505 15.668     0.175    6.2 14.699     0.328    3.3 0000     BB              10 57183.43070807         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.260483 306.194628 
 337.0775408 22.0176636 71876a072-002278 15.677     0.205    5.3 14.622     0.332    3.3 0000     BB              10 57548.32049263         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.265245 286.964858 
 337.0784185 22.0168845 49649b107-003968 16.306     0.370    2.9 15.265     0.441    2.5 0000     CC              10 56818.82495506           null              null           null              null           null              null           null              null      null 2.275402 160.418077 
 337.0778877 22.0180503 99185a161-003068 16.172     0.256    4.2 14.605     0.431    2.5 0000     BC               5 58442.29128586         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.287584 333.829978 
 337.0781268 22.0168375 99079a184-003743 16.342     0.272    4.0 14.697      null    1.9 0000     BU              10 58438.82361692           null              null           null              null           null              null           null              null      null 2.322597 185.210523 
 337.0782306 22.0168323 99163a185-005026 16.265      null    1.8 14.336      null    2.0 0000     UU              10 58441.57144420           null              null           null              null           null              null           null              null      null 2.335654 176.674163 
 337.0775346 22.0177548 60672a078-002276 15.580     0.189    5.8 14.191     0.250    4.3 0000     BB              10 57181.00288679         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.400673 294.335966 
 337.0775925 22.0171038 71861b096-002107 15.505     0.232    4.7 14.920     0.373    2.9 0000     BC              10 57547.86182177         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.410547 235.817585 
 337.0774572 22.0175212 60753b101-003528 16.209     0.259    4.2 15.122     0.403    2.7 0000     BC              10 57183.69327840         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.450176 273.470625 
 337.0774672 22.0176014 49672a082-001931 15.831     0.198    5.5 14.471     0.230    4.7 0000     BB              10 56819.54874227         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.451579 280.269078 
 337.0783517 22.0168016 66082b195-003210 16.193     0.312    3.5 14.845     0.333    3.3 0000     BB              10 57358.48279191           null              null           null              null           null              null           null              null      null 2.501154 167.539434 
 337.0784031 22.0167969 60653b103-004932 16.507     0.428    2.5 15.192     0.450    2.4 0000     CC               0 57180.41242177           null              null           null              null           null              null           null              null      null 2.559940 163.869590 
 337.0778656 22.0181414 49645b106-003329 16.106     0.245    4.4 15.020     0.324    3.3 0000     BB              10 56818.69328792         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.615630 335.548619 
 337.0775064 22.0178430 77030b188-002295 15.705     0.162    6.7 14.652     0.266    4.1 0000     BB              10 57717.18355017         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.629234 299.803630 
 337.0783750 22.0167547 88065a162-003017 16.004     0.350    3.1 14.706     0.312    3.5 0000     BB              10 58078.42467990           null              null           null              null           null              null           null              null      null 2.683087 166.695877 
 337.0777058 22.0180971 88055a186-002464 15.601     0.287    3.8 14.746     0.268    4.1 0000     BB              10 58078.09742118         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.747135 323.967490 
 337.0776776 22.0180779 49668a082-002581 15.587     0.161    6.7 15.207     0.465    2.3 0000     BC              10 56819.41707523         16.051             0.055         15.217             0.081         11.783             0.224          8.421             0.280      null 2.749084 321.533079 
